id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Cipher,Night Verse,hiphop,focused,0.74,96,0.58,0.83,0.14
12,Blue Hour Session,Velvet Keys,jazz,relaxed,0.46,88,0.69,0.57,0.81
13,Neon Sprint,Arc Pulse,edm,excited,0.95,128,0.76,0.91,0.04
14,Velvet Lines,Sora Lane,rnb,romantic,0.52,92,0.73,0.72,0.33
15,Granite Skies,Iron Vale,metal,intense,0.97,168,0.41,0.49,0.03
16,Woodland Prelude,Echo Quartet,classical,calm,0.22,64,0.62,0.21,0.96
17,Golden Coastline,Harbor Lights,reggae,happy,0.61,86,0.82,0.77,0.44
18,Dusty Highway,The Switchbacks,country,warm,0.48,102,0.74,0.59,0.67
19,Basement Bounce,Sidechain Saints,hiphop,confident,0.79,98,0.66,0.88,0.12
20,Afterglow Quartet,Northline Jazz,jazz,melancholic,0.41,84,0.44,0.52,0.86
21,Pixel Hearts,Prism Youth,indie pop,hopeful,0.68,116,0.79,0.76,0.29
22,Thunder Chapel,Ash Crown,metal,aggressive,0.98,172,0.35,0.43,0.02
23,Ocean Static,Moon Harbor,ambient,calm,0.24,58,0.63,0.33,0.94